keithley: v, a	b2901a: v a
-3.000000000, -0.000000000	12.500000000, -0.000000005
-2.000000000, -0.000000000	12.500000000, 0.000000006
-1.000000000, 0.000000000	12.500000000, 0.000000011
0.000000000, 0.000000000	12.500000000, 0.000000019
1.000000000, 0.000000000	12.500000000, -0.000000019
2.000000000, 0.000000000	12.500000000, 0.000000019
3.000000000, 0.000000000	12.500000000, -0.000000016
4.000000000, 0.000000000	12.500000000, 0.000000019
5.000000000, 0.000000001	12.500000000, 0.000000019
6.000000000, 0.000000001	12.500000000, -0.000000017
7.000000000, 0.000000001	12.500000000, -0.000000007
8.000000000, 0.000000001	12.500000000, 0.000000004
9.000000000, 0.000000001	12.500000000, -0.000000015
10.000000000, 0.000000001	12.500000000, 0.000000019
11.000000000, 0.000000001	12.500000000, 0.000000009
12.000000000, 0.000000001	12.500000000, -0.000000014
13.000000000, 0.000000001	12.500000000, 0.000000019
14.000000000, 0.000000001	12.500000000, 0.000000007
15.000000000, 0.000000001	12.500000000, 0.000000009
16.000000000, 0.000000001	12.500000000, -0.000000018
17.000000000, 0.000000001	12.500000000, 0.000000017
18.000000000, 0.000000001	12.500000000, 0.000000001
19.000000000, 0.000000001	12.500000000, 0.000000012
20.000000000, 0.000000001	12.500000000, -0.000000018
21.000000000, 0.000000001	12.500000000, 0.000000018
22.000000000, 0.000000001	12.500000000, -0.000000009
23.000000000, 0.000000001	12.500000000, 0.000000019
24.000000000, 0.000000001	12.500000000, -0.000000010
25.000000000, 0.000000001	12.500000000, -0.000000002
26.000000000, 0.000000001	12.500000000, 0.000000016
27.000000000, 0.000000001	12.500000000, 0.000000017
28.000000000, 0.000000001	12.500000000, 0.000000002
29.000000000, 0.000000001	12.500000000, 0.000000019
30.000000000, 0.000000001	12.500000000, -0.000000017
31.000000000, 0.000000001	12.500000000, 0.000000001
32.000000000, 0.000000001	12.500000000, 0.000000017
33.000000000, 0.000000001	12.500000000, 0.000000013
34.000000000, 0.000000001	12.500000000, 0.000000006
35.000000000, 0.000000001	12.500000000, 0.000000019
36.000000000, 0.000000001	12.500000000, -0.000000018
37.000000000, 0.000000001	12.500000000, 0.000000001
38.000000000, 0.000000001	12.500000000, -0.000000018
39.000000000, 0.000000001	12.500000000, 0.000000018
40.000000000, 0.000000001	12.500000000, -0.000000012
-9.000000000, -0.000000006	16.250000000, -0.000000015
-8.000000000, -0.000000003	16.250000000, 0.000000005
-7.000000000, -0.000000002	16.250000000, 0.000000015
-6.000000000, -0.000000001	16.250000000, 0.000000019
-5.000000000, -0.000000001	16.250000000, 0.000000016
-4.000000000, -0.000000000	16.250000000, -0.000000012
-3.000000000, -0.000000000	16.250000000, 0.000000005
-2.000000000, -0.000000000	16.250000000, 0.000000007
-1.000000000, 0.000000000	16.250000000, -0.000000011
0.000000000, 0.000000000	16.250000000, 0.000000002
1.000000000, 0.000000000	16.250000000, -0.000000008
2.000000000, 0.000000000	16.250000000, 0.000000010
3.000000000, 0.000000000	16.250000000, -0.000000019
4.000000000, 0.000000000	16.250000000, 0.000000018
5.000000000, 0.000000001	16.250000000, 0.000000019
6.000000000, 0.000000001	16.250000000, -0.000000019
7.000000000, 0.000000001	16.250000000, -0.000000016
8.000000000, 0.000000001	16.250000000, 0.000000008
9.000000000, 0.000000001	16.250000000, 0.000000003
10.000000000, 0.000000001	16.250000000, 0.000000018
11.000000000, 0.000000001	16.250000000, -0.000000018
12.000000000, 0.000000001	16.250000000, -0.000000001
13.000000000, 0.000000001	16.250000000, -0.000000019
14.000000000, 0.000000001	16.250000000, -0.000000007
15.000000000, 0.000000001	16.250000000, -0.000000015
16.000000000, 0.000000001	16.250000000, 0.000000018
17.000000000, 0.000000001	16.250000000, 0.000000001
18.000000000, 0.000000001	16.250000000, 0.000000019
19.000000000, 0.000000001	16.250000000, 0.000000001
20.000000000, 0.000000001	16.250000000, 0.000000019
21.000000000, 0.000000001	16.250000000, -0.000000018
22.000000000, 0.000000001	16.250000000, 0.000000005
23.000000000, 0.000000001	16.250000000, -0.000000019
24.000000000, 0.000000001	16.250000000, 0.000000016
25.000000000, 0.000000001	16.250000000, -0.000000003
26.000000000, 0.000000001	16.250000000, -0.000000015
27.000000000, 0.000000001	16.250000000, 0.000000019
28.000000000, 0.000000001	16.250000000, -0.000000005
29.000000000, 0.000000001	16.250000000, -0.000000015
30.000000000, 0.000000001	16.250000000, -0.000000007
31.000000000, 0.000000001	16.250000000, -0.000000007
32.000000000, 0.000000001	16.250000000, -0.000000019
33.000000000, 0.000000001	16.250000000, -0.000000013
34.000000000, 0.000000001	16.250000000, 0.000000011
35.000000000, 0.000000001	16.250000000, 0.000000019
36.000000000, 0.000000001	16.250000000, -0.000000011
37.000000000, 0.000000001	16.250000000, -0.000000007
38.000000000, 0.000000001	16.250000000, 0.000000018
39.000000000, 0.000000001	16.250000000, 0.000000017
40.000000000, 0.000000001	16.250000000, 0.000000003
