keithley: v, a	b2901a: v a
8.750000000, 0.000000000	38.000000000, 0.000000006
8.750000000, 0.000000000	39.000000000, 0.000000016
8.750000000, -0.000000000	40.000000000, -0.000000017
12.500000000, 0.000000001	-9.000000000, 0.000000012
12.500000000, 0.000000000	-8.000000000, -0.000000020
12.500000000, 0.000000000	-7.000000000, 0.000000004
12.500000000, 0.000000000	-6.000000000, 0.000000013
12.500000000, 0.000000000	-5.000000000, -0.000000018
12.500000000, 0.000000000	-4.000000000, 0.000000002
12.500000000, 0.000000000	-3.000000000, 0.000000018
12.500000000, 0.000000000	-2.000000000, -0.000000015
12.500000000, 0.000000000	-1.000000000, -0.000000005
12.500000000, 0.000000000	0.000000000, 0.000000019
12.500000000, 0.000000000	1.000000000, -0.000000012
12.500000000, 0.000000000	2.000000000, -0.000000010
12.500000000, 0.000000000	3.000000000, 0.000000019
12.500000000, 0.000000000	4.000000000, -0.000000008
12.500000000, 0.000000000	5.000000000, -0.000000014
12.500000000, 0.000000000	6.000000000, 0.000000019
12.500000000, 0.000000000	7.000000000, -0.000000002
12.500000000, 0.000000000	8.000000000, -0.000000018
12.500000000, 0.000000000	9.000000000, 0.000000014
12.500000000, 0.000000000	10.000000000, 0.000000009
12.500000000, 0.000000000	11.000000000, -0.000000018
12.500000000, 0.000000000	12.000000000, -0.000000006
12.500000000, 0.000000000	13.000000000, 0.000000019
12.500000000, 0.000000000	14.000000000, -0.000000012
12.500000000, 0.000000000	15.000000000, -0.000000009
12.500000000, 0.000000000	16.000000000, 0.000000019
12.500000000, 0.000000000	17.000000000, -0.000000010
12.500000000, 0.000000000	18.000000000, -0.000000015
12.500000000, 0.000000000	19.000000000, 0.000000018
12.500000000, 0.000000000	20.000000000, -0.000000003
12.500000000, 0.000000000	21.000000000, -0.000000019
12.500000000, 0.000000000	22.000000000, 0.000000011
12.500000000, 0.000000000	23.000000000, 0.000000009
12.500000000, 0.000000000	24.000000000, -0.000000019
12.500000000, 0.000000000	25.000000000, 0.000000006
12.500000000, 0.000000000	26.000000000, 0.000000014
12.500000000, 0.000000000	27.000000000, -0.000000018
12.500000000, 0.000000000	28.000000000, -0.000000002
12.500000000, 0.000000000	29.000000000, 0.000000018
12.500000000, 0.000000000	30.000000000, -0.000000016
12.500000000, 0.000000000	31.000000000, -0.000000007
12.500000000, 0.000000000	32.000000000, 0.000000020
12.500000000, 0.000000000	33.000000000, -0.000000012
12.500000000, 0.000000000	34.000000000, -0.000000010
12.500000000, 0.000000000	35.000000000, 0.000000020
12.500000000, 0.000000000	36.000000000, -0.000000002
12.500000000, 0.000000000	37.000000000, -0.000000015
12.500000000, 0.000000000	38.000000000, 0.000000019
12.500000000, 0.000000000	39.000000000, -0.000000001
12.500000000, 0.000000000	40.000000000, -0.000000019
16.250000000, 0.000000001	-9.000000000, -0.000000000
16.250000000, 0.000000000	-8.000000000, -0.000000018
16.250000000, 0.000000000	-7.000000000, -0.000000015
16.250000000, 0.000000000	-6.000000000, 0.000000019
16.250000000, 0.000000000	-5.000000000, -0.000000004
16.250000000, 0.000000000	-4.000000000, -0.000000017
16.250000000, 0.000000000	-3.000000000, 0.000000018
16.250000000, 0.000000000	-2.000000000, 0.000000003
16.250000000, 0.000000000	-1.000000000, -0.000000020
16.250000000, 0.000000000	0.000000000, 0.000000015
16.250000000, 0.000000000	1.000000000, 0.000000008
16.250000000, 0.000000000	2.000000000, -0.000000020
16.250000000, 0.000000000	3.000000000, 0.000000010
16.250000000, 0.000000000	4.000000000, 0.000000012
16.250000000, 0.000000000	5.000000000, -0.000000020
16.250000000, 0.000000000	6.000000000, 0.000000009
16.250000000, 0.000000000	7.000000000, 0.000000014
16.250000000, 0.000000000	8.000000000, -0.000000018
16.250000000, 0.000000000	9.000000000, 0.000000003
16.250000000, 0.000000000	10.000000000, 0.000000017
16.250000000, 0.000000000	11.000000000, -0.000000018
16.250000000, 0.000000000	12.000000000, -0.000000002
16.250000000, 0.000000000	13.000000000, 0.000000020
16.250000000, 0.000000000	14.000000000, -0.000000015
16.250000000, 0.000000000	15.000000000, -0.000000006
16.250000000, 0.000000000	16.000000000, 0.000000020
16.250000000, 0.000000000	17.000000000, -0.000000010
16.250000000, 0.000000000	18.000000000, -0.000000011
16.250000000, 0.000000000	19.000000000, 0.000000019
16.250000000, 0.000000000	20.000000000, -0.000000007
16.250000000, 0.000000000	21.000000000, -0.000000015
16.250000000, 0.000000000	22.000000000, 0.000000020
16.250000000, 0.000000000	23.000000000, -0.000000004
16.250000000, 0.000000000	24.000000000, -0.000000018
16.250000000, 0.000000000	25.000000000, 0.000000016
16.250000000, 0.000000000	26.000000000, 0.000000001
16.250000000, 0.000000000	27.000000000, -0.000000019
16.250000000, 0.000000000	28.000000000, 0.000000012
16.250000000, 0.000000000	29.000000000, 0.000000008
16.250000000, 0.000000000	30.000000000, -0.000000019
16.250000000, 0.000000000	31.000000000, 0.000000014
16.250000000, 0.000000000	32.000000000, 0.000000009
16.250000000, 0.000000000	33.000000000, -0.000000019
16.250000000, 0.000000000	34.000000000, 0.000000010
16.250000000, 0.000000000	35.000000000, 0.000000013
16.250000000, 0.000000000	36.000000000, -0.000000019
16.250000000, 0.000000000	37.000000000, 0.000000004
16.250000000, 0.000000000	38.000000000, 0.000000015
16.250000000, 0.000000000	39.000000000, -0.000000018
16.250000000, 0.000000000	40.000000000, 0.000000004
